CPU Overall Power Consumption,GPU Power,FPS
118.977,340.431,154
122.502,342.765,169
122.896,340.911,160
123.606,338.316,150
122.928,342.89,139
124.121,344.415,147
119.887,340.423,147
121.956,345.611,148
121.059,344.933,149
121.028,345.618,148
120.993,340.419,137
118.85,340.545,138
120.222,338.834,138
120.234,342.68,137
119.291,343.468,141
120.406,338.622,139
120.37,335.201,139
119.446,339.77,139
120.944,340.388,140
118.986,342.074,135
118.204,341.822,135
118.414,341.149,134
121.125,338.815,139
119.729,343.193,139
119.472,343.672,139
126.237,334.349,131
130.712,343.049,136
128.453,341.61,143
124.874,338.708,155
123.481,339.349,158
124.379,338.465,141
130.675,341.829,142
127.233,340.254,146
123.902,343.341,150
121.805,344.386,148
124.514,342.265,144
123.537,340.903,152
128.37,338.444,140
123.338,341.284,146
125.611,342.561,148
124.811,344.119,152
132.364,341.389,154
126.07,340.332,152
124.193,339.313,136
138.726,315.486,115
138.17,332.811,126
129.394,334.223,134
128.105,337.465,131
127.79,340.395,135
129.56,334.496,151
126.005,333.221,140
124.837,338.551,136
123.941,338.889,138
124.581,336.948,154
123.395,335.233,156
123.708,335.742,154
125.842,344.318,155
126.047,345.252,155
125.728,346.889,156
123.522,337.234,148
124.083,340.004,148
124.07,336.73,149
124.401,336.081,147
124.162,341.095,143
125.203,340.286,141
125.255,341.817,141
126.166,346.13,140
126.703,333.679,130
128.039,339.827,135
134.092,333.879,124
128.834,334.988,146
126.961,335.305,151
126.233,343.691,141
126.062,341.441,131
126.602,343.514,135
126.639,343.012,130
126.816,342.882,131
126.873,334.102,134
127.042,333.204,134
129.254,334.192,134
127.977,335.893,132
127.27,338.829,129
125.398,334.297,146
127.072,334.461,135
128.005,332.589,128
127.869,340.791,136
127.674,342.203,129
128.726,340.789,124
129.163,336.068,125
128.682,338.912,123
128.946,336.163,127
127.716,336.184,124
127.391,334.573,125
128.27,333.996,128
128.203,340.003,135
127.321,335.717,138
126.081,339.674,138
126.81,345.117,145
127.675,342.993,138
127.772,342.3,139
127.694,342.618,142
125.551,336.29,134
125.31,338.596,135
128.367,338.396,125
131.066,338.898,124
127.76,337.359,133
127.522,338.461,133
127.148,339.91,130
129.453,338.617,127
128.508,340.704,153
128.608,343.264,133
127.613,343.243,132
127.076,344.439,130
129.658,335.479,114
130.258,333.866,123
132.348,337.005,118
127.611,335.329,130
128.725,342.222,132
128.314,346.779,130
130.329,343.875,120
128.029,342.261,145
128.373,344.987,120
129.33,338.64,117
128.286,337.975,125
130.041,343.147,113
128.569,336.861,114
130.04,342.859,116
131.207,338.696,133
129.84,337.642,146
129.973,338.045,153
129.053,335.12,155
129.776,336.274,147
129.108,339.707,141
127.641,341.716,140
126.832,343.532,148
127.075,340.45,161
124.78,342.45,149
122.825,338.907,149
124.475,339.457,161
125.693,338.553,166
123.368,339.31,163
125.722,342.516,134
126.66,338.874,154
125.979,340.958,155
124.446,338.693,159
124.746,339.347,156
123.521,341.067,157
123.306,339.302,169
126.328,342.083,140
126.121,341.467,140
122.712,342.081,171
123.128,342.591,178
122.899,342.634,175
123.167,340.173,142
122.621,341.054,141
122.419,339.158,142
124.184,340.56,152
122.41,342.726,174
124.851,344.337,163
123.21,341.181,163
124.326,337.266,153
121.87,338.62,163
122.457,334.271,158
123.968,337.98,158
123.979,338.743,158
123.922,336.627,160
124.643,337.692,160
123.732,342.377,152
122.304,342.759,166
124.734,342.91,159
123.396,343.399,155
122.677,346.544,164
126.013,343.422,147
125.896,339.631,163
125.925,341.241,176
125.824,339.168,134
128.562,343.503,133
125.825,341.207,138
124.272,344.979,149
124.552,338.586,150
125.005,341.844,155
124.717,339.164,157
125.832,338.955,148
127.503,342.902,148
127.771,340.728,146
127.751,342.066,147
127.803,345.924,148
127.976,340.888,146
127.983,338.822,146
126.929,343.102,156
124.693,343.566,175
124.007,340.763,164
129.214,342.446,137
127.244,346.553,147
128.424,342.463,131
126.181,343.187,159
125.075,341.629,166
131.308,341.847,121
134.322,341.323,135
129.419,338.76,146
128.259,340.735,135
126.908,342.073,151
124.931,342.971,136
128.047,346.034,127
129.543,346.595,127
125.665,338.461,142
126.249,334.107,159
127.53,340.733,159
127.363,340.797,164
129.75,339.584,153
129.974,336.213,154
129.634,339.033,163
127.978,342.451,152
127.237,343.408,143
128.591,342.943,130
128.811,343.446,133
125.705,343.664,156
126.677,339.176,184
125.826,340.908,173
124.861,336.917,182
124.197,339.901,180
124.068,342.323,178
123.915,339.808,178
126.546,334.847,164
126.174,339.619,164
129.974,342.197,146
132.604,342.287,145
131.462,343.574,147
131.466,342.769,147
131.799,341.727,145
130.619,338.526,147
127.914,341.536,153
130.636,340.359,148
130.924,339.225,145
130.481,343.372,158
128.891,334.496,151
129.554,344.799,152
126.547,344.45,152
124.449,342.006,150
124.251,341.402,152
121.935,342.874,162
124.357,341.933,168
124.388,337.284,158
122.615,343.011,152
122.985,336.653,158
122.994,340.14,158
121.44,344.944,159
121.983,337.63,162
124.228,340.086,151
126.116,343.633,156
126.113,341.482,141
126.812,337.416,134
129.536,339.924,153
129.921,341.287,146
133.901,340.274,136
131.267,338.036,137
129.484,339.484,132
124.435,344.504,140
130.756,340.389,138
127.109,343.436,133
129.807,345.909,120
132.269,341.339,122
137.001,340.802,119
134.667,340.629,120
138.196,342.271,119
136.263,341.554,122
134.317,342.727,145
128.126,340.046,165
133.297,341.589,134
142.398,341.236,110
131.735,346.573,126
125.403,341.388,169
125.737,340.594,142
127.952,345.124,120
135.888,346.361,111
135.271,347.811,121
133.936,344.098,122
134.763,346.947,122
137.686,346.693,103
138.189,347.409,102
141.752,344.236,99
133.747,346.238,121
125.56,344.595,126
123.292,347.317,146
122.536,345.937,137
123.397,346.581,137
123.031,346.174,137
123.279,347.336,137
122.721,347.736,137
117.089,315.219,178
114.905,217.199,152
124.137,345.784,139
124.047,347.008,138
113.611,288.702,133
124.326,348.205,129
121.772,345.32,127
123.726,347.667,127
131.873,348.255,135
123.765,347.909,136
122.608,347.503,138
123.271,348.108,132
122.683,346.267,134
122.477,345.914,134
121.862,346.223,135
125.296,347.009,126
124.522,347.897,126
126.445,347.093,126
127.061,347.7,125
127.216,346.143,129
127.559,347.058,126
124.074,344.957,130
121.387,348.525,129
125.587,348.427,126
122.389,348.971,127
123.724,347.919,127
126.325,348.078,128
127.323,346.982,128
124.809,347.279,128
124.72,348.357,128
124.629,347.428,128
124.36,347.148,129
125.101,344.695,128
124.829,321.872,144
113.268,191.027,174
125.713,338.193,130
128.383,340.79,131
128.951,344.245,127
126.495,340.592,132
125.745,344.838,127
125.892,346.135,125
129.683,345.455,115
140.952,331.928,102
131.093,343.243,113
131.944,344.837,110
132.48,342.454,108
132.215,346.886,110
134.174,345.013,108
133.11,344.55,111
129.324,344.857,126
127.257,344.016,126
133.314,344.407,124
126.968,340.479,122
132.163,344.124,123
